what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351712301243
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351712302350
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.opendecl",1351712307732
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351712307748
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351712310571
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.opendecl",1351712313754
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351712313785
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351712319104
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.opendecl",1351712328979
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351712329026
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351712329057
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351712339400
closed,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351712339400
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1351712350850
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351712351552
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351712403937
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1351712413375
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351712414093
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351712567270
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351712568534
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351712570266
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351712615256
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351712635958
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1351712658562
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351712662103
