what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch",1351708348143
started,bundle,com.altera.sbtgui.core,10.1.0.153,"com.altera.sbtgui.core",1351708349937
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1351708350015
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351708353431
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351708398203
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.200909110608,"org.eclipse.cdt.managedbuilder.core",1351708412602
started,bundle,org.eclipse.cdt.make.core,6.0.0.200909110608,"org.eclipse.cdt.make.core",1351708412789
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1351708412805
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.200909110608,"org.eclipse.cdt.managedbuilder.gnu.ui",1351708416086
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351708420875
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351708430344
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351708464836
started,bundle,org.eclipse.core.databinding,1.2.0.M20090819-0800,"org.eclipse.core.databinding",1351708471949
started,bundle,org.eclipse.core.databinding.property,1.2.0.M20090819-0800,"org.eclipse.core.databinding.property",1351708471965
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1351708484289
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351708505962
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1351708505978
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1351708505978
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1351708506867
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1351708513138
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1351708513216
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1351708515275
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351708515338
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351708531453
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1351708531468
