what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711714904
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711715387
executed,command,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.popupmenu.addtobuild",1351711717088
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711717883
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711721505
executed,command,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.popupmenu.addtobuild",1351711732990
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711733785
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711737966
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351711739713
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1351711742849
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711745329
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711802529
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711802545
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711805727
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1351711805727
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1351711808317
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351711808520
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1351711809893
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351711810080
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1351711850036
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711889999
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711893899
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711895506
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711926607
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1351711929116
