what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1351711328856
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.0.I20090429-1800,"org.eclipse.ui.views.properties.tabbed",1351711328872
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711336874
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711388734
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711388734
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711392119
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1351711392119
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildProject",1351711396643
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711396924
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711399046
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1351711399170
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.TaskList",1351711399779
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1351711400559
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711411984
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711426367
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351711426960
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711428504
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711430392
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711457682
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711493366
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351711496158
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1351711506969
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711508232
started,bundle,org.eclipse.cdt.launch,6.0.0.200909110608,"org.eclipse.cdt.launch",1351711514057
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351711518035
