what,kind,bundleId,bundleVersion,description,time
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1351714340621
error,log,,,"CPU architecture type not set. ",1351714340621
error,log,,,"CPU master group not set.",1351714340637
error,log,,,"Connected system ID hash not found on target at expected base address.",1351714340637
error,log,,,"Connected system timestamp not found on target at expected base address.",1351714340652
error,log,,,"SOPC design not set.",1351714340652
error,log,,,"CPU module not set.",1351714340668
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1351714340668
error,log,,,"CPU architecture type not set. ",1351714340684
error,log,,,"CPU master group not set.",1351714340684
error,log,,,"Connected system ID hash not found on target at expected base address.",1351714340699
error,log,,,"Connected system timestamp not found on target at expected base address.",1351714340699
error,log,,,"SOPC design not set.",1351714340715
error,log,,,"CPU module not set.",1351714340715
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1351714340715
error,log,,,"CPU architecture type not set. ",1351714340730
error,log,,,"CPU master group not set.",1351714340730
error,log,,,"Select one of the available target connection paths.",1351714340746
error,log,,,"SOPC design not set.",1351714340746
error,log,,,"CPU module not set.",1351714340762
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1351714340762
error,log,,,"CPU architecture type not set. ",1351714340777
error,log,,,"CPU master group not set.",1351714340777
error,log,,,"Select one of the available target connection paths.",1351714340793
error,log,,,"SOPC design not set.",1351714340793
