what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351713217511
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351713217554
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351713219745
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1351713219756
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351713228309
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1351713232022
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1351713234201
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1351713235369
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351713258399
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351713271189
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351713319205
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351713321046
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351713325820
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351713436607
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351713440741
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351713442083
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1351713457590
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351713478182
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351713503128
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351713510132
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351713523533
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1351713525733
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1351713527464
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1351713541942
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1351713542987
